symbol,window,range_down_pct,range_up_pct,grid_count,move,sells_only,n_prints,first_px,last_px,arb,n_win,n_loss,grid_profit,mtm,net,equity,max_dd_pct,shifts,n_base,end_quote,inv,gap
SNXX3S_USDT,full,0.0,0.05,20,up,True,27829,1.0107,0.010265,19,19,0,46.5481,0.0,46.5481,2046.5481,0.06696,135,19,2046.5481,0.0,-0.0
SOXL3S_USDT,full,0.0,0.05,20,up,True,62331,1.01083,0.8326,19,19,0,46.5481,0.0,46.5481,2046.5481,0.099965,1185,19,2046.5481,0.0,0.0
SNXX3S_USDT,late,0.0,0.05,20,both,False,13950,0.01135,0.010265,1207,831,376,-1901.8328,0.0,-1901.8328,98.1672,0.951279,6511,19,98.1672,0.0,0.0
SNXX3L_USDT,late,0.0,0.05,20,both,False,19375,2.60438,1.0969,1277,732,545,-1901.3474,0.0,-1901.3474,98.6526,0.951007,3466,19,98.6526,0.0,-0.0
SNXX3S_USDT,full,0.0,0.05,20,both,False,27829,1.0107,0.010265,339,111,228,-1905.0692,0.0,-1905.0692,94.9308,0.952523,2359,19,94.9308,0.0,-0.0
SOXL3L_USDT,late,0.0,0.05,20,both,False,30577,0.01701,0.01545,1192,718,474,-1899.0245,0.0,-1899.0245,100.9755,0.9503,20599,19,100.9755,0.0,-0.0
SOXL3S_USDT,late,0.0,0.05,20,both,False,33373,3.5857,0.8326,1052,598,454,-1907.771,0.0,-1907.771,92.229,0.954222,1770,19,92.229,0.0,-0.0
SNXX3L_USDT,full,0.0,0.05,20,both,False,37108,1.00171,1.0969,471,207,264,-1903.3644,0.0,-1903.3644,96.6356,0.952881,39616,19,96.6356,0.0,-0.0
SOXL3L_USDT,full,0.0,0.05,20,both,False,71701,1.00644,0.01545,678,378,300,-1899.4036,0.0,-1899.4036,100.5964,0.95125,1917,19,100.5964,0.0,-0.0
SOXL3S_USDT,full,0.0,0.05,20,both,False,62331,1.01083,0.8326,983,504,479,-1899.8595,0.0,-1899.8595,100.1405,0.949918,45615,19,100.1405,0.0,0.0
SNXX3L_USDT,late,0.0,0.05,20,both,True,19375,2.60438,1.0969,19,9,10,1.059,0.0,1.059,2001.059,0.011912,3466,19,2001.059,0.0,-0.0
SNXX3S_USDT,full,0.0,0.05,20,both,True,27829,1.0107,0.010265,19,0,19,-53.178,0.0,-53.178,1946.822,0.04792,2359,19,1946.822,0.0,-0.0
SOXL3S_USDT,late,0.0,0.05,20,both,True,33373,3.5857,0.8326,19,7,12,-25.9345,0.0,-25.9345,1974.0655,0.024825,1770,19,1974.0655,0.0,0.0
SOXL3L_USDT,late,0.0,0.05,20,both,True,30577,0.01701,0.01545,19,15,4,27.5527,0.0,27.5527,2027.5527,0.008938,20599,19,2027.5527,0.0,-0.0
SNXX3L_USDT,full,0.0,0.05,20,both,True,37108,1.00171,1.0969,19,19,0,46.5481,0.0,46.5481,2046.5481,0.0,39616,19,2046.5481,0.0,-0.0
SNXX3S_USDT,late,0.0,0.05,20,both,True,13950,0.01135,0.010265,19,4,15,-14.1873,0.0,-14.1873,1985.8127,0.013586,6511,19,1985.8127,0.0,-0.0
SOXL3L_USDT,full,0.0,0.05,20,both,True,71701,1.00644,0.01545,19,14,5,19.5546,0.0,19.5546,2019.5546,0.013109,1917,19,2019.5546,0.0,0.0
SOXL3S_USDT,full,0.0,0.05,20,both,True,62331,1.01083,0.8326,19,0,19,-69.4241,0.0,-69.4241,1930.5759,0.035867,45615,19,1930.5759,0.0,0.0
SNXX3L_USDT,late,0.0,0.1,10,none,False,19375,2.60438,1.0969,9,9,0,89.0874,0.0,89.0874,2089.0874,0.015007,0,9,2089.0874,0.0,0.0
SNXX3L_USDT,full,0.0,0.1,10,none,False,37108,1.00171,1.0969,9,9,0,89.0874,0.0,89.0874,2089.0874,0.035394,0,9,2089.0874,0.0,-0.0
SNXX3S_USDT,full,0.0,0.1,10,none,False,27829,1.0107,0.010265,9,9,0,89.0874,0.0,89.0874,2089.0874,0.152291,0,9,2089.0874,0.0,0.0
SNXX3S_USDT,late,0.0,0.1,10,none,False,13950,0.01135,0.010265,9,9,0,89.0874,0.0,89.0874,2089.0874,0.426035,0,9,2089.0874,0.0,0.0
SOXL3S_USDT,late,0.0,0.1,10,none,False,33373,3.5857,0.8326,9,9,0,89.0874,0.0,89.0874,2089.0874,0.210514,0,9,2089.0874,0.0,-0.0
SOXL3L_USDT,late,0.0,0.1,10,none,False,30577,0.01701,0.01545,9,9,0,89.0874,0.0,89.0874,2089.0874,0.036816,0,9,2089.0874,0.0,-0.0
SOXL3S_USDT,full,0.0,0.1,10,none,False,62331,1.01083,0.8326,9,9,0,89.0874,0.0,89.0874,2089.0874,0.094702,0,9,2089.0874,0.0,0.0
SOXL3L_USDT,full,0.0,0.1,10,none,False,71701,1.00644,0.01545,8,8,0,71.1907,-196.9298,-125.7901,1874.2099,0.10268,0,9,1871.1397,3.0702,-0.0
SNXX3L_USDT,late,0.0,0.1,10,none,True,19375,2.60438,1.0969,9,9,0,89.0874,0.0,89.0874,2089.0874,0.015007,0,9,2089.0874,0.0,0.0
SNXX3L_USDT,full,0.0,0.1,10,none,True,37108,1.00171,1.0969,9,9,0,89.0874,0.0,89.0874,2089.0874,0.035394,0,9,2089.0874,0.0,-0.0
SNXX3S_USDT,full,0.0,0.1,10,none,True,27829,1.0107,0.010265,9,9,0,89.0874,0.0,89.0874,2089.0874,0.152291,0,9,2089.0874,0.0,0.0
SOXL3S_USDT,late,0.0,0.1,10,none,True,33373,3.5857,0.8326,9,9,0,89.0874,0.0,89.0874,2089.0874,0.210514,0,9,2089.0874,0.0,-0.0
SNXX3S_USDT,late,0.0,0.1,10,none,True,13950,0.01135,0.010265,9,9,0,89.0874,0.0,89.0874,2089.0874,0.426035,0,9,2089.0874,0.0,0.0
SOXL3L_USDT,late,0.0,0.1,10,none,True,30577,0.01701,0.01545,9,9,0,89.0874,0.0,89.0874,2089.0874,0.036816,0,9,2089.0874,0.0,-0.0
SOXL3S_USDT,full,0.0,0.1,10,none,True,62331,1.01083,0.8326,9,9,0,89.0874,0.0,89.0874,2089.0874,0.094702,0,9,2089.0874,0.0,0.0
SOXL3L_USDT,full,0.0,0.1,10,none,True,71701,1.00644,0.01545,8,8,0,71.1907,-196.9298,-125.7901,1874.2099,0.10268,0,9,1871.1397,3.0702,-0.0
SNXX3L_USDT,late,0.0,0.1,10,up,False,19375,2.60438,1.0969,141,141,0,272.3256,-1627.8157,-1356.0181,643.9819,0.81124,57,9,71.7976,572.1843,0.0
SNXX3S_USDT,late,0.0,0.1,10,up,False,13950,0.01135,0.010265,150,150,0,304.8325,-948.1263,-643.8218,1356.1782,0.494199,54,9,104.3045,1251.8737,-0.0
SNXX3L_USDT,full,0.0,0.1,10,up,False,37108,1.00171,1.0969,468,468,0,424.9267,-1639.7231,-1215.3244,784.6756,0.795686,325,9,224.3987,560.2769,-0.0
SNXX3S_USDT,full,0.0,0.1,10,up,False,27829,1.0107,0.010265,25,25,0,113.1437,-1984.7775,-1872.1138,127.8862,0.942916,28,9,112.6637,15.2225,-0.0
SOXL3L_USDT,late,0.0,0.1,10,up,False,30577,0.01701,0.01545,554,554,0,618.2322,-1483.6942,-865.9901,1134.0099,0.608479,174,9,417.7042,716.3058,-0.0
SOXL3S_USDT,late,0.0,0.1,10,up,False,33373,3.5857,0.8326,25,25,0,117.3649,-1571.681,-1454.7961,545.2039,0.839215,3,9,116.8849,428.319,0.0
SOXL3L_USDT,full,0.0,0.1,10,up,False,71701,1.00644,0.01545,8,8,0,71.1907,-196.9298,-125.7901,1874.2099,0.10268,0,9,1871.1397,3.0702,-0.0
SOXL3S_USDT,full,0.0,0.1,10,up,False,62331,1.01083,0.8326,656,656,0,652.1362,-1742.3711,-1090.7629,909.2371,0.740461,291,9,451.6082,457.6289,-0.0
SNXX3L_USDT,late,0.0,0.1,10,up,True,19375,2.60438,1.0969,9,9,0,89.0874,0.0,89.0874,2089.0874,0.015007,57,9,2089.0874,0.0,0.0
SNXX3L_USDT,full,0.0,0.1,10,up,True,37108,1.00171,1.0969,9,9,0,89.0874,0.0,89.0874,2089.0874,0.035394,325,9,2089.0874,0.0,-0.0
SNXX3S_USDT,full,0.0,0.1,10,up,True,27829,1.0107,0.010265,9,9,0,89.0874,0.0,89.0874,2089.0874,0.152291,28,9,2089.0874,0.0,0.0
SOXL3L_USDT,late,0.0,0.1,10,up,True,30577,0.01701,0.01545,9,9,0,89.0874,0.0,89.0874,2089.0874,0.036816,174,9,2089.0874,0.0,-0.0
SOXL3S_USDT,late,0.0,0.1,10,up,True,33373,3.5857,0.8326,9,9,0,89.0874,0.0,89.0874,2089.0874,0.210514,3,9,2089.0874,0.0,-0.0
SNXX3S_USDT,late,0.0,0.1,10,up,True,13950,0.01135,0.010265,9,9,0,89.0874,0.0,89.0874,2089.0874,0.426035,54,9,2089.0874,0.0,0.0
SOXL3L_USDT,full,0.0,0.1,10,up,True,71701,1.00644,0.01545,8,8,0,71.1907,-196.9298,-125.7901,1874.2099,0.10268,0,9,1871.1397,3.0702,-0.0
SOXL3S_USDT,full,0.0,0.1,10,up,True,62331,1.01083,0.8326,9,9,0,89.0874,0.0,89.0874,2089.0874,0.094702,291,9,2089.0874,0.0,0.0
SNXX3L_USDT,late,0.0,0.1,10,both,False,19375,2.60438,1.0969,404,258,146,-1798.0327,0.0,-1798.0327,201.9673,0.911479,471,9,201.9673,0.0,0.0
SNXX3S_USDT,late,0.0,0.1,10,both,False,13950,0.01135,0.010265,627,409,218,-1804.0022,0.0,-1804.0022,195.9978,0.90316,950,9,195.9978,0.0,-0.0
SNXX3S_USDT,full,0.0,0.1,10,both,False,27829,1.0107,0.010265,131,45,86,-1803.6597,0.0,-1803.6597,196.3403,0.911536,415,9,196.3403,0.0,-0.0
SNXX3L_USDT,full,0.0,0.1,10,both,False,37108,1.00171,1.0969,231,124,107,-1826.5486,0.0,-1826.5486,173.4514,0.916556,6168,9,173.4514,0.0,-0.0
SOXL3S_USDT,late,0.0,0.1,10,both,False,33373,3.5857,0.8326,282,155,127,-1449.6281,0.0,-1449.6281,550.3719,0.741305,262,9,550.3719,0.0,-0.0
SOXL3L_USDT,late,0.0,0.1,10,both,False,30577,0.01701,0.01545,585,396,189,-1802.4802,0.0,-1802.4802,197.5198,0.904191,2956,9,197.5198,0.0,-0.0
SOXL3L_USDT,full,0.0,0.1,10,both,False,71701,1.00644,0.01545,295,180,115,-1575.5086,0.0,-1575.5086,424.4914,0.795419,270,9,424.4914,0.0,0.0
SOXL3S_USDT,full,0.0,0.1,10,both,False,62331,1.01083,0.8326,474,273,201,-1798.336,0.0,-1798.336,201.664,0.899145,7127,9,201.664,0.0,0.0
SNXX3L_USDT,late,0.0,0.1,10,both,True,19375,2.60438,1.0969,9,7,2,53.096,0.0,53.096,2053.096,0.015007,471,9,2053.096,0.0,0.0
SNXX3L_USDT,full,0.0,0.1,10,both,True,37108,1.00171,1.0969,9,6,3,35.1004,0.0,35.1004,2035.1004,0.025309,6168,9,2035.1004,0.0,-0.0
SOXL3S_USDT,late,0.0,0.1,10,both,True,33373,3.5857,0.8326,9,1,8,-90.8694,0.0,-90.8694,1909.1306,0.053757,262,9,1909.1306,0.0,-0.0
SOXL3L_USDT,late,0.0,0.1,10,both,True,30577,0.01701,0.01545,9,5,4,9.1066,0.0,9.1066,2009.1066,0.036816,2956,9,2009.1066,0.0,0.0
SNXX3S_USDT,late,0.0,0.1,10,both,True,13950,0.01135,0.010265,9,1,8,-70.8742,0.0,-70.8742,1929.1258,0.046931,950,9,1929.1258,0.0,-0.0
SNXX3S_USDT,full,0.0,0.1,10,both,True,27829,1.0107,0.010265,9,0,9,-66.8752,0.0,-66.8752,1933.1248,0.045398,415,9,1933.1248,0.0,-0.0
SOXL3L_USDT,full,0.0,0.1,10,both,True,71701,1.00644,0.01545,9,7,2,29.1018,0.0,29.1018,2029.1018,0.026096,270,9,2029.1018,0.0,-0.0
SOXL3S_USDT,full,0.0,0.1,10,both,True,62331,1.01083,0.8326,9,0,9,-68.8747,0.0,-68.8747,1931.1253,0.039428,7127,9,1931.1253,0.0,0.0
SNXX3L_USDT,late,0.0,0.1,20,none,False,19375,2.60438,1.0969,19,19,0,94.0367,0.0,94.0367,2094.0367,0.015004,0,19,2094.0367,0.0,-0.0
SNXX3L_USDT,full,0.0,0.1,20,none,False,37108,1.00171,1.0969,19,19,0,94.0367,0.0,94.0367,2094.0367,0.04123,0,19,2094.0367,0.0,-0.0
