range_down_pct,range_up_pct,grid_count,move,sells_only,full_median_eq,full_mean_eq,full_min_eq,full_max_eq,full_median_net,full_median_profit,full_median_mtm,full_median_dd,full_n_green,late_median_eq,late_mean_eq,late_min_eq,late_max_eq,late_median_net,late_median_profit,late_median_mtm,late_median_dd,late_n_green,score
0.02,0.2,20,none,False,2111.22065,1813.689275,752.7312,2279.5846,111.22065,226.6556,-115.38694999999998,0.19838250000000002,3,2165.25525,2002.3588,1399.827,2279.0977,165.25525,230.39655,-65.48740000000001,0.2350195,3,1289.697195
0.05,0.05,10,none,False,1627.8908000000001,1690.2406,1047.0108,2458.17,-372.1092,198.2271,-567.418,0.3631505,2,1865.74645,1898.2688750000002,1353.2179,2508.3647,-134.25355000000002,196.12525,-316.56585,0.38254350000000004,2,1282.51622
0.05,0.1,10,none,False,1793.62855,1746.2109,860.8922,2536.6943,-206.37144999999998,250.7526,-456.93205,0.2841475,2,1994.51375,2023.928775,1547.9402,2558.7474,-5.4862500000000125,259.57835,-254.61194999999998,0.29934,2,1278.122705
0.05,0.05,20,none,False,1556.7244999999998,1606.70685,1043.4584,2269.92,-443.2755,128.16355000000001,-568.52765,0.37030050000000003,2,1799.7013000000002,1798.71045,1316.3454,2279.0938,-200.2987,125.7216,-318.319,0.3880455,2,1252.0156299999999
0.05,0.15,10,none,False,1925.5477,1762.6147,656.9709,2542.3925,-74.45229999999998,267.73114999999996,-342.0395,0.2131445,2,2086.9751,2071.93865,1559.7002,2554.1042,86.9751,275.828,-189.91045,0.2637545,2,1218.0898
0.05,0.2,10,none,False,2061.87775,1821.3994,651.0767,2510.7654,61.877750000000006,288.67995,-226.7062,0.19028499999999998,2,2159.717,2042.96055,1350.8606,2501.5476,159.71699999999998,283.51405,-124.5083,0.2805965,2,1214.2737949999998
0.05,0.2,20,none,False,2018.14265,1763.826875,647.2867,2371.7355,18.142650000000003,246.05610000000001,-227.8174,0.1930995,2,2114.94355,1989.3739,1339.19,2388.4185,114.94354999999999,240.51239999999999,-126.2748,0.2831025,2,1196.924145
0.0,0.15,10,up,False,1114.8708000000001,915.28755,174.8375,1256.5711,-885.1292,398.21549999999996,-1686.99995,0.703315,0,1364.10165,1345.7513749999998,701.2311,1953.5711,-635.8983499999999,302.0176,-1202.9969999999998,0.523379,0,562.12621
0.02,0.15,10,up,False,970.7379,864.6402499999999,195.2144,1321.8708,-1029.2621,443.75985000000003,-1686.1487,0.6834914999999999,0,1479.4902,1299.623775,737.8158,1501.6989,-520.5098,366.60055,-1196.9785000000002,0.5054425,0,536.39173
0.0,0.2,10,up,False,1115.3130999999998,933.5297499999999,31.0092,1472.4836,-884.6868999999999,511.1004,-1683.46845,0.654915,0,1517.22505,1368.2226249999999,815.8875,1622.5529,-482.77495,387.26525000000004,-1188.06725,0.49764850000000005,0,513.27603
0.05,0.15,10,up,False,878.3815500000001,843.70925,200.4517,1417.6222,-1121.61845,459.19365,-1684.732,0.7065144999999999,0,1556.11565,1352.428575,736.285,1561.198,-443.88435000000004,402.35794999999996,-1182.4855499999999,0.4986295,0,510.997315
0.0,0.2,20,up,False,956.5093999999999,790.36065,128.2259,1120.1979,-1043.4906,366.08455000000004,-1608.16305,0.6974875,0,1366.8986,1289.215725,793.564,1629.5017,-633.1014,314.74760000000003,-1134.1668,0.5185155,0,509.77857
0.02,0.2,20,up,False,869.5505499999999,758.2096750000001,132.5395,1161.1981,-1130.44945,380.0875,-1606.3930500000001,0.6902185000000001,0,1375.4537,1266.661175,804.0307,1511.7066,-624.5463,353.06735000000003,-1128.4709,0.5260335,0,487.941055
0.05,0.2,10,up,False,947.6786999999999,892.311675,67.5478,1606.3415,-1052.3213,562.2728500000001,-1680.8881000000001,0.691175,0,1502.59845,1392.12705,790.8304,1772.4809,-497.40155000000004,458.3497,-1164.5565000000001,0.480529,0,476.24359
0.02,0.2,10,up,False,1011.1891499999999,888.86365,22.0368,1511.0395,-988.8108500000001,506.56264999999996,-1682.2159,0.653559,0,1472.0363,1342.48145,801.0175,1624.8357,-527.9637,382.05600000000004,-1180.59035,0.4932185,0,474.578645
0.02,0.1,10,up,False,934.48455,820.660175,143.8849,1269.7867,-1065.5154499999999,315.52195,-1689.58325,0.74558,0,950.6333,974.42845,582.6949,1413.7523,-1049.3667,323.4393,-1523.30295,0.694202,0,468.826795
0.05,0.2,20,up,False,821.4055000000001,741.0660250000001,127.2476,1194.2055,-1178.5945,381.18815,-1605.21825,0.7062375000000001,0,1375.8349,1291.197825,787.0784,1626.0431,-624.1650999999999,391.63824999999997,-1118.6988999999999,0.5180594999999999,0,467.46113
0.05,0.1,10,up,False,905.07255,778.457575,144.0384,1159.6468,-1094.9274500000001,357.96569999999997,-1688.24615,0.71791,0,996.1919,1030.0547,584.9571,1542.8779,-1003.8081,374.29445,-1519.64715,0.6851295,0,460.532385
0.02,0.15,20,up,False,918.4509,725.330575,78.6275,985.793,-1081.5491,300.32135,-1610.05005,0.7266045000000001,0,1298.55235,1244.696625,723.0531,1658.6287,-701.4476500000001,273.85015,-1143.7135,0.5551745,0,459.45964000000004
0.05,0.15,20,up,False,876.4001000000001,722.05845,74.1776,1061.256,-1123.5999,307.59205,-1608.16305,0.714511,0,1346.9132,1254.2876999999999,724.7407,1598.5837,-653.0868,289.12485,-1134.1668,0.5338535,0,444.95696999999996
0.0,0.15,20,up,False,880.9835499999999,774.3044,74.23,1261.0205,-1119.01645,278.44015,-1611.21625,0.7396675,0,1235.5073499999999,1284.428025,706.4274,1960.27,-764.49265,241.87779999999998,-1149.31065,0.5388105000000001,0,442.695545
0.0,0.1,10,up,False,846.95635,924.0022,127.8862,1874.2099,-1153.04365,269.0352,-1691.0471,0.7680735000000001,0,888.9959,919.843475,545.2039,1356.1782,-1111.0041,288.57905,-1527.6876,0.7098595,0,427.070785
