symbol,window,range_down_pct,range_up_pct,grid_count,move,sells_only,n_prints,first_px,last_px,arb,n_win,n_loss,grid_profit,mtm,net,equity,max_dd_pct,shifts,n_base,end_quote,inv,gap,scenario,seg_id
SOXL3S_USDT,SOXL3S_jun_high,0.0,0.05,20,up,True,2446,1.12385,1.83695,19,19,0,46.5481,0.0,46.5481,2046.5481,0.0032,352,19,2046.5481,0.0,0.0,from_high,SOXL3S_jun_high
SOXL3S_USDT,SOXL3S_aug_high,0.0,0.05,20,up,False,6274,0.5717,0.9645,734,734,0,139.3443,-117.8412,20.999,2020.999,0.238295,305,19,38.8403,1982.1588,0.0,from_high,SOXL3S_aug_high
SNXX3L_USDT,SNXX3L_open_trough,0.0,0.05,20,up,True,1078,0.53062,2.35386,19,19,0,46.5481,0.0,46.5481,2046.5481,0.0,1426,19,2046.5481,0.0,-0.0,from_trough,SNXX3L_open_trough
SNXX3L_USDT,SNXX3L_aug_high,0.0,0.05,20,up,True,14773,2.17321,4.04558,19,19,0,46.5481,0.0,46.5481,2046.5481,0.111866,383,19,2046.5481,0.0,-0.0,from_high,SNXX3L_aug_high
SNXX3L_USDT,SNXX3L_aug_trough,0.0,0.05,20,up,True,7892,0.56854,4.04558,19,19,0,46.5481,0.0,46.5481,2046.5481,0.054787,2649,19,2046.5481,0.0,0.0,from_trough,SNXX3L_aug_trough
SOXL3S_USDT,SOXL3S_aug_high,0.0,0.05,20,up,True,6274,0.5717,0.9645,19,19,0,46.5481,0.0,46.5481,2046.5481,0.23469,305,19,2046.5481,0.0,-0.0,from_high,SOXL3S_aug_high
SOXL3S_USDT,SOXL3S_aug_trough,0.0,0.05,20,up,True,5412,0.465,0.9645,19,19,0,46.5481,0.0,46.5481,2046.5481,0.018217,471,19,2046.5481,0.0,0.0,from_trough,SOXL3S_aug_trough
SOXL3L_USDT,SOXL3L_jun_trough,0.0,0.05,20,both,False,1906,0.46705,0.87982,827,594,233,-652.4315,-0.1936,-652.6971,1347.3029,0.335641,1147,19,1047.4965,299.8064,-0.0,from_trough,SOXL3L_jun_trough
SOXL3L_USDT,SOXL3L_jun_high,0.0,0.05,20,both,False,3860,0.80587,0.87982,675,432,243,-1240.8376,0.0,-1240.8376,759.1624,0.631154,936,19,759.1624,0.0,-0.0,from_high,SOXL3L_jun_high
SOXL3S_USDT,SOXL3S_jun_high,0.0,0.05,20,both,False,2446,1.12385,1.83695,858,554,304,-1548.5018,-1.0325,-1549.6303,450.3697,0.783968,1991,19,51.4022,398.9675,0.0,from_high,SOXL3S_jun_high
SNXX3L_USDT,SNXX3L_open_high,0.0,0.05,20,both,False,1469,1.00171,2.35386,460,205,255,-1864.8329,0.0,-1864.8329,135.1671,0.934476,3359,19,135.1671,0.0,-0.0,from_high,SNXX3L_open_high
SNXX3L_USDT,SNXX3L_open_trough,0.0,0.05,20,both,False,1078,0.53062,2.35386,730,382,348,-1382.3476,0.0,-1382.3476,617.6524,0.699996,4066,19,617.6524,0.0,0.0,from_trough,SNXX3L_open_trough
SNXX3L_USDT,SNXX3L_aug_trough,0.0,0.05,20,both,False,7892,0.56854,4.04558,1504,979,525,-1899.7598,0.0,-1899.7598,100.2402,0.950285,20507,19,100.2402,0.0,0.0,from_trough,SNXX3L_aug_trough
SOXL3S_USDT,SOXL3S_jun_trough,0.0,0.05,20,both,False,1906,0.72385,1.83695,1079,657,422,-1513.9384,0.0,-1513.9384,486.0616,0.763081,3249,19,486.0616,0.0,0.0,from_trough,SOXL3S_jun_trough
SNXX3L_USDT,SNXX3L_aug_high,0.0,0.05,20,both,False,14773,2.17321,4.04558,1001,619,382,-1903.1591,0.0,-1903.1591,96.8409,0.951925,3567,19,96.8409,0.0,0.0,from_high,SNXX3L_aug_high
SOXL3L_USDT,SOXL3L_jun_high,0.0,0.05,20,both,True,3860,0.80587,0.87982,19,9,10,-38.9314,0.0,-38.9314,1961.0686,0.040646,936,19,1961.0686,0.0,0.0,from_high,SOXL3L_jun_high
SOXL3S_USDT,SOXL3S_aug_trough,0.0,0.05,20,both,False,5412,0.465,0.9645,1663,1086,577,-1842.834,0.0,-1842.834,157.166,0.924255,4243,19,157.166,0.0,-0.0,from_trough,SOXL3S_aug_trough
SOXL3S_USDT,SOXL3S_jun_high,0.0,0.05,20,both,True,2446,1.12385,1.83695,19,19,0,46.5481,0.0,46.5481,2046.5481,0.0032,1991,19,2046.5481,0.0,0.0,from_high,SOXL3S_jun_high
SOXL3S_USDT,SOXL3S_aug_high,0.0,0.05,20,both,False,6274,0.5717,0.9645,1374,891,483,-1854.4049,0.0,-1854.4049,145.5951,0.928483,3116,19,145.5951,0.0,0.0,from_high,SOXL3S_aug_high
SNXX3L_USDT,SNXX3L_open_trough,0.0,0.05,20,both,True,1078,0.53062,2.35386,19,19,0,46.5481,0.0,46.5481,2046.5481,0.0,4066,19,2046.5481,0.0,-0.0,from_trough,SNXX3L_open_trough
SNXX3L_USDT,SNXX3L_open_high,0.0,0.05,20,both,True,1469,1.00171,2.35386,19,19,0,46.5481,0.0,46.5481,2046.5481,0.0,3359,19,2046.5481,0.0,-0.0,from_high,SNXX3L_open_high
SOXL3L_USDT,SOXL3L_jun_trough,0.0,0.05,20,both,True,1906,0.46705,0.87982,19,12,7,4.5582,0.0,4.5582,2004.5582,0.020536,1147,19,2004.5582,0.0,-0.0,from_trough,SOXL3L_jun_trough
SNXX3L_USDT,SNXX3L_aug_high,0.0,0.05,20,both,True,14773,2.17321,4.04558,19,3,16,-55.9273,0.0,-55.9273,1944.0727,0.035293,3567,19,1944.0727,0.0,-0.0,from_high,SNXX3L_aug_high
SNXX3L_USDT,SNXX3L_aug_trough,0.0,0.05,20,both,True,7892,0.56854,4.04558,19,8,11,-4.9395,0.0,-4.9395,1995.0605,0.018836,20507,19,1995.0605,0.0,0.0,from_trough,SNXX3L_aug_trough
SOXL3S_USDT,SOXL3S_aug_trough,0.0,0.05,20,both,True,5412,0.465,0.9645,19,11,8,4.5582,0.0,4.5582,2004.5582,0.017043,4243,19,2004.5582,0.0,-0.0,from_trough,SOXL3S_aug_trough
SOXL3S_USDT,SOXL3S_aug_high,0.0,0.05,20,both,True,6274,0.5717,0.9645,19,0,19,-85.4202,0.0,-85.4202,1914.5798,0.044782,3116,19,1914.5798,0.0,-0.0,from_high,SOXL3S_aug_high
SOXL3S_USDT,SOXL3S_jun_trough,0.0,0.05,20,both,True,1906,0.72385,1.83695,19,19,0,46.5481,0.0,46.5481,2046.5481,0.002876,3249,19,2046.5481,0.0,-0.0,from_trough,SOXL3S_jun_trough
SOXL3S_USDT,SOXL3S_jun_high,0.0,0.1,10,none,False,2446,1.12385,1.83695,9,9,0,89.0874,0.0,89.0874,2089.0874,0.003683,0,9,2089.0874,0.0,0.0,from_high,SOXL3S_jun_high
SOXL3L_USDT,SOXL3L_jun_trough,0.0,0.1,10,none,False,1906,0.46705,0.87982,9,9,0,89.0874,0.0,89.0874,2089.0874,0.023459,0,9,2089.0874,0.0,-0.0,from_trough,SOXL3L_jun_trough
SNXX3L_USDT,SNXX3L_open_high,0.0,0.1,10,none,False,1469,1.00171,2.35386,9,9,0,89.0874,0.0,89.0874,2089.0874,0.035394,0,9,2089.0874,0.0,0.0,from_high,SNXX3L_open_high
SNXX3L_USDT,SNXX3L_open_trough,0.0,0.1,10,none,False,1078,0.53062,2.35386,9,9,0,89.0874,0.0,89.0874,2089.0874,0.0,0,9,2089.0874,0.0,0.0,from_trough,SNXX3L_open_trough
SNXX3L_USDT,SNXX3L_aug_trough,0.0,0.1,10,none,False,7892,0.56854,4.04558,9,9,0,89.0874,0.0,89.0874,2089.0874,0.062579,0,9,2089.0874,0.0,0.0,from_trough,SNXX3L_aug_trough
SOXL3S_USDT,SOXL3S_jun_trough,0.0,0.1,10,none,False,1906,0.72385,1.83695,9,9,0,89.0874,0.0,89.0874,2089.0874,0.010145,0,9,2089.0874,0.0,0.0,from_trough,SOXL3S_jun_trough
SNXX3L_USDT,SNXX3L_aug_high,0.0,0.1,10,none,False,14773,2.17321,4.04558,9,9,0,89.0874,0.0,89.0874,2089.0874,0.119228,0,9,2089.0874,0.0,-0.0,from_high,SNXX3L_aug_high
SOXL3L_USDT,SOXL3L_jun_high,0.0,0.1,10,none,False,3860,0.80587,0.87982,9,9,0,89.0874,0.0,89.0874,2089.0874,0.413727,0,9,2089.0874,0.0,0.0,from_high,SOXL3L_jun_high
SOXL3S_USDT,SOXL3S_aug_trough,0.0,0.1,10,none,False,5412,0.465,0.9645,9,9,0,89.0874,0.0,89.0874,2089.0874,0.019425,0,9,2089.0874,0.0,0.0,from_trough,SOXL3S_aug_trough
SOXL3S_USDT,SOXL3S_aug_high,0.0,0.1,10,none,False,6274,0.5717,0.9645,9,9,0,89.0874,0.0,89.0874,2089.0874,0.222335,0,9,2089.0874,0.0,0.0,from_high,SOXL3S_aug_high
SOXL3L_USDT,SOXL3L_jun_high,0.0,0.1,10,none,True,3860,0.80587,0.87982,9,9,0,89.0874,0.0,89.0874,2089.0874,0.413727,0,9,2089.0874,0.0,0.0,from_high,SOXL3L_jun_high
SOXL3S_USDT,SOXL3S_jun_high,0.0,0.1,10,none,True,2446,1.12385,1.83695,9,9,0,89.0874,0.0,89.0874,2089.0874,0.003683,0,9,2089.0874,0.0,0.0,from_high,SOXL3S_jun_high
SNXX3L_USDT,SNXX3L_open_high,0.0,0.1,10,none,True,1469,1.00171,2.35386,9,9,0,89.0874,0.0,89.0874,2089.0874,0.035394,0,9,2089.0874,0.0,0.0,from_high,SNXX3L_open_high
SNXX3L_USDT,SNXX3L_open_trough,0.0,0.1,10,none,True,1078,0.53062,2.35386,9,9,0,89.0874,0.0,89.0874,2089.0874,0.0,0,9,2089.0874,0.0,0.0,from_trough,SNXX3L_open_trough
SOXL3S_USDT,SOXL3S_jun_trough,0.0,0.1,10,none,True,1906,0.72385,1.83695,9,9,0,89.0874,0.0,89.0874,2089.0874,0.010145,0,9,2089.0874,0.0,0.0,from_trough,SOXL3S_jun_trough
SNXX3L_USDT,SNXX3L_aug_trough,0.0,0.1,10,none,True,7892,0.56854,4.04558,9,9,0,89.0874,0.0,89.0874,2089.0874,0.062579,0,9,2089.0874,0.0,0.0,from_trough,SNXX3L_aug_trough
