range_down_pct,range_up_pct,grid_count,move,sells_only,median_eq,mean_eq,min_eq,max_eq,median_net,median_profit,median_mtm,n_green,n_seg,score
0.02,0.05,20,up,True,2037.4983,2037.4983,2037.4983,2037.4983,37.4983,37.4983,0.0,5,5,2037.4982999999997
0.0,0.1,20,up,False,2148.9089,2130.2233800000004,1950.1418,2231.34,148.9089,224.3837,-86.4184,4,5,2029.6486400000001
0.05,0.05,10,none,True,2029.4978,2029.4978000000003,2029.4978,2029.4978,29.4978,29.4978,0.0,5,5,2029.4978
0.05,0.05,10,up,True,2029.4978,2029.4978000000003,2029.4978,2029.4978,29.4978,29.4978,0.0,5,5,2029.4978
0.05,0.05,20,none,True,2026.9984,2026.9984,2026.9984,2026.9984,26.9984,26.9984,0.0,5,5,2026.9984
0.05,0.05,20,up,True,2026.9984,2026.9984,2026.9984,2026.9984,26.9984,26.9984,0.0,5,5,2026.9984
0.02,0.05,10,up,False,2146.5989,2119.72148,1908.7373,2274.5491,146.5989,206.3939,-112.1837,4,5,2003.88194
0.0,0.05,10,up,False,2104.7006,2067.58716,1893.8747,2171.1494,104.7006,180.4801,-120.5304,4,5,1978.2050600000002
0.05,0.05,20,up,False,2097.3881,2074.0539799999997,1878.1718,2177.4908,97.3881,152.4137,-86.4184,4,5,1965.8583200000003
0.02,0.05,20,both,True,1966.8153,1986.8304799999999,1936.3726,2037.4983,-33.1847,-33.1847,0.0,2,5,1948.5496799999999
0.02,0.05,10,both,True,1967.2157,1986.8109799999997,1928.0251,2039.9982,-32.7843,-32.7843,0.0,2,5,1943.70134
0.05,0.05,20,both,True,1973.0114,1982.9089800000002,1919.0243,2026.9984,-26.9886,-26.9886,0.0,2,5,1940.61914
0.0,0.05,10,both,True,1958.1188,1982.1130799999999,1920.128,2044.0982,-41.8812,-41.8812,0.0,2,5,1935.3243199999997
0.05,0.05,10,both,True,1975.5108,1973.11136,1905.5276,2029.4978,-24.4892,-24.4892,0.0,2,5,1933.52088
0.0,0.05,20,both,True,1961.0686,1982.56346,1914.5798,2046.5481,-38.9314,-38.9314,0.0,2,5,1933.1753199999998
0.02,0.05,20,up,False,2059.5156,2023.4712200000001,1833.4967,2105.2114,59.5156,121.0024,-107.1101,4,5,1923.90426
0.0,0.05,20,up,False,2039.261,1992.15886,1810.0718,2046.8181,39.261,108.6341,-117.8412,4,5,1901.74748
0.02,0.1,20,both,True,1941.1724,1966.48634,1870.9893,2087.5373,-58.8276,-58.8276,0.0,2,5,1899.06254
0.0,0.1,20,both,True,1937.5743,1966.46734,1861.0926,2094.0367,-62.4257,-62.4257,0.0,2,5,1891.68528
0.05,0.1,20,both,True,1930.8234,1950.01884,1865.5891,2071.0398,-69.1766,-69.1766,0.0,1,5,1891.68282
0.02,0.1,10,both,True,1934.3246,1951.60042,1859.9424,2092.6865,-65.6754,-65.6754,0.0,1,5,1889.69528
0.0,0.1,10,both,True,1927.1263,1967.5166000000002,1861.1421,2089.0874,-72.8737,-72.8737,0.0,2,5,1887.53578
0.02,0.15,20,both,True,1917.2287,1947.1414799999998,1845.8458,2090.587,-82.7713,-82.7713,0.0,2,5,1874.39896
0.05,0.1,10,both,True,1893.3324,1952.11832,1839.3454,2076.2885,-106.6676,-106.6676,0.0,2,5,1860.9402
0.0,0.15,20,both,True,1909.8309,1941.3233400000001,1816.8532,2111.5325,-90.1691,-90.1691,0.0,1,5,1854.04428
0.05,0.15,20,both,True,1871.2882,1926.87488,1837.2964,2073.2397,-128.7118,-128.7118,0.0,2,5,1850.89312
