range_down_pct,range_up_pct,grid_count,move,sells_only,median_eq,mean_eq,min_eq,max_eq,median_net,median_profit,median_mtm,n_green,n_seg,score
0.02,0.05,20,none,False,2039.0197,2046.7972000000002,2037.4983,2069.6695,39.0197,39.0197,0.0,5,5,2038.1068599999999
0.02,0.05,20,none,True,2037.4983,2037.4983,2037.4983,2037.4983,37.4983,37.4983,0.0,5,5,2037.4982999999997
0.02,0.05,20,up,True,2037.4983,2037.4983,2037.4983,2037.4983,37.4983,37.4983,0.0,5,5,2037.4982999999997
0.05,0.2,10,both,True,2179.1648,2117.17968,1939.2224,2179.1648,179.1648,179.1648,0.0,4,5,2035.19936
0.05,0.05,10,none,False,2031.4215,2056.91668,2029.4978,2121.4179,31.4215,31.4215,0.0,5,5,2030.26728
0.0,0.15,10,both,True,2134.0766,2088.48756,1960.1184,2134.0766,134.0766,134.0766,0.0,4,5,2029.7016800000001
0.05,0.05,10,none,True,2029.4978,2029.4978000000003,2029.4978,2029.4978,29.4978,29.4978,0.0,5,5,2029.4978
0.05,0.05,10,up,True,2029.4978,2029.4978000000003,2029.4978,2029.4978,29.4978,29.4978,0.0,5,5,2029.4978
0.05,0.05,20,none,False,2027.9097,2044.4557799999998,2026.9984,2087.7682,27.9097,27.9097,0.0,5,5,2027.36292
0.05,0.05,20,none,True,2026.9984,2026.9984,2026.9984,2026.9984,26.9984,26.9984,0.0,5,5,2026.9984
0.05,0.05,20,up,True,2026.9984,2026.9984,2026.9984,2026.9984,26.9984,26.9984,0.0,5,5,2026.9984
0.0,0.15,20,both,True,2101.035,2089.18786,1974.3154,2141.5253,101.035,101.035,0.0,4,5,2025.00324
0.05,0.15,10,both,True,2127.1773,2090.38612,1943.2214,2127.1773,127.1773,127.1773,0.0,4,5,2016.8037599999998
0.02,0.1,10,both,True,2092.6865,2066.77272,1963.1176,2092.6865,92.6865,92.6865,0.0,4,5,2014.94516
0.05,0.1,10,both,True,2076.2885,2054.6936800000003,1968.3144,2076.2885,76.2885,76.2885,0.0,4,5,2011.5040400000003
0.05,0.1,20,both,True,2071.0398,2049.7449,1964.5653,2071.0398,71.0398,71.0398,0.0,4,5,2007.1551
0.02,0.1,20,both,True,2087.5373,2060.66374,1953.1695,2087.5373,87.5373,87.5373,0.0,4,5,2006.91662
0.0,0.05,10,up,False,2118.1884,2107.15646,1922.9528,2244.1957,118.1884,243.6131,-125.6993,4,5,2001.0470400000002
0.0,0.05,20,both,True,2004.5582,2019.45462,1995.0605,2046.5481,4.5582,4.5582,0.0,4,5,1998.85958
0.0,0.05,10,both,True,2009.1066,2017.9044999999999,1990.1112,2044.0982,9.1066,9.1066,0.0,4,5,1997.70936
0.0,0.1,20,both,True,2051.5469,2046.84802,1951.5709,2094.0367,51.5469,51.5469,0.0,4,5,1991.5612999999998
0.05,0.05,10,both,True,2029.4978,2016.7008799999999,1965.5132,2029.4978,29.4978,29.4978,0.0,4,5,1991.10704
0.0,0.1,10,both,True,2041.0989,2043.0984400000002,1955.1196,2089.0874,41.0989,41.0989,0.0,4,5,1989.51132
0.05,0.05,20,both,True,2026.9984,2013.7015999999999,1960.5144,2026.9984,26.9984,26.9984,0.0,4,5,1987.108
0.02,0.05,20,both,True,2037.4983,2019.65258,1948.2697,2037.4983,37.4983,37.4983,0.0,4,5,1983.96114
0.02,0.05,10,both,True,2039.9982,2020.68284,1943.4214,2039.9982,39.9982,39.9982,0.0,4,5,1982.0521199999998
0.05,0.05,20,up,False,2120.9124,2091.6029000000003,1885.4655,2250.9111,120.9124,176.1775,-96.9422,4,5,1979.64426
0.02,0.05,20,up,False,2052.6731,2039.10056,1854.25,2139.822,52.6731,154.8394,-111.769,4,5,1933.61924
0.0,0.05,20,up,False,2015.2624,1999.94554,1826.2908,2110.7695,15.2624,132.3798,-122.2419,4,5,1901.8794400000002
0.05,0.2,10,both,False,1830.2177,1734.5021199999999,931.198,2181.0909,-169.7823,-172.7542,0.0,2,5,1290.80588
0.05,0.2,20,both,False,1636.9875,1575.25972,689.2408,2146.5426,-363.0125,-363.0125,0.0,1,5,1068.33948
0.02,0.2,10,both,False,1625.5762,1595.4883399999999,612.7589,2195.6004,-374.4238,-374.4238,0.0,2,5,1017.8858200000001
0.05,0.15,10,both,False,1551.8119,1459.80442,580.8704,1850.668,-448.1881,-448.1881,0.0,0,5,969.2470000000001
0.0,0.2,10,both,False,1606.2459,1533.4104,501.9125,2190.6706,-393.7541,-393.7541,0.0,1,5,943.6458600000001
0.0,0.2,20,both,False,1669.3773,1390.6229799999999,395.6442,1736.9694,-330.6227,-328.1725,0.0,0,5,905.1374400000001
0.05,0.15,20,both,False,1637.7085,1358.8943199999999,382.2244,1690.8062,-362.2915,-362.2915,0.0,0,5,884.41804
0.02,0.2,20,both,False,1512.9701,1400.4256,456.8425,1841.959,-487.0299,-487.0299,0.0,0,5,879.2935399999999
0.02,0.15,10,both,False,1426.588,1321.8465,452.8147,1763.6429,-573.412,-573.412,0.0,0,5,842.32402
0.02,0.15,20,both,False,1386.0286,1167.95166,288.7757,1627.6878,-613.9714,-613.9714,0.0,0,5,727.67686
0.0,0.15,10,both,False,1360.2065,1185.13482,257.901,1850.1274,-639.7935,-639.7935,0.0,0,5,698.8232
0.05,0.1,10,both,False,1344.1359,1136.72286,259.0505,1671.414,-655.8641,-655.8641,0.0,0,5,693.08466
0.0,0.15,20,both,False,1337.2648,1094.45234,150.0838,1798.347,-662.7352,-662.7352,0.0,0,5,624.9562000000001
0.05,0.1,20,both,False,1277.6647,1046.7297,163.8128,1688.9415,-722.3353,-722.3353,0.0,0,5,609.35356
0.02,0.1,10,both,False,1194.8891,1019.22804,201.7993,1663.3195,-805.1109,-805.1109,0.0,0,5,599.0352200000001
0.0,0.1,10,both,False,1040.0467,939.87206,200.1359,1742.8161,-959.9533,-959.9533,0.0,0,5,536.10022
0.05,0.05,10,both,False,1013.7791,930.52884,198.1439,1743.8747,-986.2209,-986.2209,0.0,0,5,524.39798
0.02,0.1,20,both,False,1048.6704,896.4986999999999,98.4955,1574.7673,-951.3296,-951.3296,0.0,0,5,478.56546000000003
0.0,0.1,20,both,False,951.17,852.62026,99.3253,1656.5845,-1048.83,-1048.83,0.0,0,5,440.06318
0.05,0.05,20,both,False,916.858,836.1367200000001,100.1469,1648.1023,-1083.142,-1083.142,0.0,0,5,426.83134
0.02,0.05,10,both,False,707.8984,705.24788,199.9731,1556.5535,-1292.1016,-1291.1931,0.0,0,5,403.14322000000004
0.0,0.05,10,both,False,542.9081,525.38996,187.8952,1011.513,-1457.0919,-1457.0919,0.0,0,5,329.90036
0.02,0.05,20,both,False,666.9299,655.95806,100.2056,1531.2427,-1333.0701,-1331.6255,0.0,0,5,326.89531999999997
0.0,0.05,20,both,False,486.0616,541.68462,100.2402,1347.3029,-1513.9384,-1513.9384,0.0,0,5,254.56876
